都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
茨城県,80,47.5,3.8,6.3,0,3.8,5,17.5,7.5,26.3,5,0,11.3,53.8,26.3,3.8,91.3,8.8,57.5,8.8,25,31.3,11.3,58.8,3.8,66.3,11.3,55,226.3,80,47.5,3.8,6.3,0,3.8,5,17.5,7.5,26.3,5,0,11.3,53.8,26.3,3.8,91.3,8.8,57.5,8.8,25,31.3,11.3,58.8,3.8,66.3,11.3,55,226.3,73,41.1,2.7,1.4,0,1.4,1.4,15.1,5.5,19.2,1.4,0,5.5,21.9,9.6,0,76.7,23.3,75.3,12.3,45.2,2.7,20.5,20.5,5.5,27.4,0,47.9,2.7,45.2,56,69.6,16.1,53.6,17.9,60.7,71.4,12.5,71.4,10.7,0,10.7,56,3.6,3.6,8.9,23.2,28.6,8.9,12.5,0,3.6,0,0,0,0,0,0,7.1,53.6,3.6,3.6,0,0,124.33,90.7,56,48.2,3.6,1.8,0,0,0,17.9,3.6,23.2,0,0,3.6,21.4,12.5,0,89.3,10.7,53.6,0,21.4,23.2,3.6,30.4,0,53.6,1.8,51.8,56,3.6,0,1.8,0,0,0,8.9,12.5,8.9,1.8,0,0,14.3,1.8,35.7,60.7,3.6,117.9,56,23.2,28.6,14.3,23.2,14.3,25,30.4,32.1,8.9,76.8,23.2,0,223.2,80,85,36.3,3.8,3.8,5,10,20,6.3,0,91.3,8.8,0,178.8,80,52.5,47.5,80,15,8.8,10,17.5,11.3,17.5,11.3,8.8,13.43,2.2,80,6.3,6.3,3.8,10,7.5,11.3,3.8,3.8,8.8,2.5,6.3,7.5,3.8,6.3,7.5,5,80,8.8,11.3,12.5,11.3,16.3,15,13.8,10,1.3,0,0,0,0,32.5,42.5,25,0,80,16.3,16.3,26.3,16.3,10,15,0,80,47.5,52.5,5.9,39.4,11.1 
栃木県,86,54.7,0,4.7,8.1,0,3.5,12.8,4.7,25.6,1.2,0,9.3,33.7,14,1.2,89.5,10.5,62.8,3.5,15.1,26.7,9.3,37.2,1.2,65.1,8.1,60.5,183.7,86,54.7,0,4.7,8.1,0,3.5,12.8,4.7,25.6,1.2,0,9.3,33.7,14,1.2,89.5,10.5,62.8,3.5,15.1,26.7,9.3,37.2,1.2,65.1,8.1,60.5,183.7,77,61,0,0,6.5,0,0,13,5.2,27.3,0,0,3.9,16.9,9.1,0,89.6,10.4,88.3,11.7,66.2,0,16.9,27.3,3.9,20.8,0,66.2,0,66.2,69,68.1,24.6,63.8,23.2,68.1,73.9,14.5,79.7,17.4,2.9,2.9,69,0,2.9,2.9,21.7,17.4,24.6,8.7,4.3,1.4,2.9,1.4,2.9,0,0,0,8.7,63.8,13,8.7,4.3,0,196.35,189.4,69,53.6,0,0,7.2,0,0,13,5.8,26.1,0,0,4.3,14.5,4.3,0,79.7,20.3,59.4,0,17.4,26.1,4.3,15.9,0,59.4,0,59.4,69,1.4,0,1.4,0,0,0,7.2,14.5,7.2,1.4,0,0,5.8,0,21.7,75.4,2.9,117.4,69,21.7,24.6,4.3,15.9,13,26.1,21.7,24.6,1.4,72.5,26.1,1.4,181.2,86,89.5,47.7,5.8,10.5,2.3,8.1,19.8,7,0,95.3,2.3,2.3,195.3,86,47.7,52.3,86,12.8,8.1,5.8,14,18.6,11.6,12.8,16.3,13.85,2.3,86,7,5.8,5.8,4.7,4.7,3.5,5.8,10.5,5.8,2.3,0,9.3,14,8.1,7,5.8,86,7,10.5,5.8,9.3,18.6,15.1,8.1,18.6,7,0,0,0,0,23.3,43,33.7,0,86,15.1,8.1,15.1,27.9,17.4,16.3,0,86,64,36,3.9,19.9,15.0 
群馬県,63,46,0,0,0,3.2,7.9,6.3,6.3,17.5,6.3,1.6,23.8,44.4,27,4.8,85.7,14.3,46,11.1,12.7,20.6,23.8,49.2,4.8,52.4,7.9,47.6,209.5,63,46,0,0,0,3.2,7.9,6.3,6.3,17.5,6.3,1.6,23.8,44.4,27,4.8,85.7,14.3,46,11.1,12.7,20.6,23.8,49.2,4.8,52.4,7.9,47.6,209.5,54,53.7,0,0,0,1.9,1.9,7.4,7.4,18.5,7.4,1.9,7.4,27.8,16.7,1.9,88.9,11.1,88.9,22.2,53.7,3.7,14.8,22.2,7.4,31.5,1.9,55.6,1.9,53.7,48,72.9,25,54.2,29.2,66.7,83.3,12.5,79.2,14.6,4.2,4.2,48,4.2,6.3,14.6,16.7,27.1,8.3,10.4,2.1,0,2.1,0,2.1,0,0,0,6.3,52.1,6.3,4.2,2.1,0,138.64,154.5,48,56.3,0,0,0,2.1,2.1,6.3,6.3,20.8,6.3,2.1,6.3,20.8,16.7,2.1,93.8,6.3,56.3,4.2,12.5,25,6.3,27.1,2.1,58.3,2.1,56.3,48,4.2,2.1,0,4.2,4.2,0,12.5,18.8,12.5,2.1,2.1,0,18.8,0,39.6,60.4,0,141.7,48,22.9,29.2,16.7,16.7,8.3,20.8,29.2,31.3,0,70.8,22.9,6.3,204.2,63,82.5,46,4.8,1.6,0,12.7,12.7,7.9,0,96.8,1.6,1.6,171.4,63,55.6,44.4,63,6.3,15.9,11.1,7.9,12.7,11.1,23.8,11.1,13.89,2.3,63,4.8,6.3,3.2,6.3,9.5,4.8,12.7,7.9,1.6,9.5,7.9,1.6,3.2,6.3,11.1,3.2,63,3.2,12.7,14.3,9.5,12.7,11.1,17.5,12.7,6.3,0,0,0,0,30.2,33.3,36.5,0,63,12.7,17.5,20.6,12.7,22.2,14.3,0,63,42.9,57.1,1.3,13.6,13.5 
埼玉県,149,57,2.7,4,4,6,8.1,16.8,8.7,20.8,4,0.7,15.4,46.3,24.2,4,94.6,5.4,67.1,13.4,24.2,24.2,15.4,51.7,4,76.5,12.1,68.5,228.2,149,57,2.7,4,4,6,8.1,16.8,8.7,20.8,4,0.7,15.4,46.3,24.2,4,94.6,5.4,67.1,13.4,24.2,24.2,15.4,51.7,4,76.5,12.1,68.5,228.2,141,59.6,2.8,2.1,3.5,0.7,0.7,16.3,9.2,20.6,3.5,0.7,5,27.7,15.6,3.5,90.1,9.9,89.4,24.1,67.4,1.4,24.1,23.4,5,32.6,3.5,67.4,2.8,66,127,67.7,35.4,66.1,39.4,59.1,75.6,14.2,76.4,13.4,14.2,4.7,127,2.4,5.5,4.7,17.3,18.1,20.5,9.4,7.1,5.5,3.1,0,0,0,0,0,6.3,63.8,15.7,8.7,0,0,171.75,126.3,127,59.1,3.1,1.6,3.9,0,0.8,13.4,5.5,20.5,3.1,0,3.9,18.1,9.4,3.1,85.8,14.2,67.7,0.8,18.1,23.6,3.9,21.3,3.1,67.7,2.4,66.1,127,2.4,0.8,4.7,1.6,1.6,0,16.5,24.4,14.2,3.9,0.8,1.6,11.8,1.6,42.5,54.3,3.1,143.3,127,26.8,26,14.2,17.3,13.4,22,26.8,33.9,2.4,62.2,33.1,4.7,220.5,149,91.3,49,6,4.7,2,7.4,17.4,8.7,0,94,4,2,192.6,149,45.6,54.4,149,6.7,13.4,10.7,16.8,12.8,11.4,18.1,10.1,13.72,2.1,149,2,6.7,4,8.7,4.7,7.4,7.4,4.7,4.7,6.7,6.7,8.1,8.1,4,10.7,5.4,149,4,12.8,10.7,12.1,14.1,14.8,18.1,8.7,4.7,0,0,0,0,27.5,40.9,31.5,0,149,12.1,15.4,18.8,22.1,14.8,16.8,0,149,50.3,49.7,3,12.2,11.7 
千葉県,151,55.6,6,6,4.6,7.9,9.3,29.8,11.9,27.8,7.3,1.3,19.9,43,26.5,8.6,97.4,2.6,68.2,17.2,37.7,31.8,19.9,49.7,8.6,82.1,14.6,69.5,268.2,151,55.6,6,6,4.6,7.9,9.3,29.8,11.9,27.8,7.3,1.3,19.9,43,26.5,8.6,97.4,2.6,68.2,17.2,37.7,31.8,19.9,49.7,8.6,82.1,14.6,69.5,268.2,147,56.5,6.1,4.1,4.1,2.7,4.1,29.3,10.9,26.5,4.8,1.4,8.2,27.9,14.3,6.1,91.8,8.2,91.2,25.9,67.3,6.8,36.1,30.6,8.2,33.3,6.1,72.1,7.5,65.3,135,75.6,41.5,63.7,40.7,57.8,77.8,11.9,76.3,14.8,8.9,2.2,135,0.7,2.2,11.1,24.4,19.3,16.3,8.9,6.7,5.9,3,0,0,0.7,0,0,0.7,60.7,16.3,9.6,0.7,0.7,171.7,153.5,135,56.3,5.9,3.7,4.4,1.5,0.7,26.7,6.7,25.2,4.4,1.5,7.4,23.7,10.4,5.2,87.4,12.6,66.7,2.2,30.4,28.9,7.4,26.7,5.2,67.4,3.7,63.7,135,2.2,0,2.2,2.2,1.5,0.7,11.9,13.3,11.1,3,2.2,0,14.1,3,34.1,65.2,0.7,133.3,135,30.4,18.5,11.1,19.3,11.9,20,25.9,27.4,6.7,65.2,34.8,0,205.9,151,86.1,51,6.6,4,2,17.2,10.6,12.6,0,94,6,0,196,151,57.6,42.4,151,4.6,9.9,13.9,16.6,17.2,13.2,11.9,12.6,13.82,2,151,2.6,7.9,7.9,8.6,9.9,9.3,5.3,6,2,2,6,7.9,7.3,4,6.6,6.6,151,2,8.6,13.9,15.2,17.2,14.6,9.3,13.9,5.3,0,0,0,0,24.5,47,28.5,0,151,15.2,9.3,27.8,19.2,14.6,13.9,0,151,51.7,48.3,6.1,49.7,14.7 
東京都,279,54.1,7.9,2.2,5.7,12.5,12.5,19.4,9,21.9,5.7,0.4,16.5,35.8,22.2,6.5,93.9,6.1,66.3,24,27.2,25.4,16.5,41.6,6.5,84.2,14.3,73.1,238.4,279,54.1,7.9,2.2,5.7,12.5,12.5,19.4,9,21.9,5.7,0.4,16.5,35.8,22.2,6.5,93.9,6.1,66.3,24,27.2,25.4,16.5,41.6,6.5,84.2,14.3,73.1,238.4,262,54.2,8,1.5,5,6.1,1.5,19.5,9.2,21.4,5.3,0.4,6.1,21.8,13,3.4,87,13,86.3,21.8,65.3,7.3,27.5,24.8,6.1,26.3,3.4,70.6,2.7,68.3,228,75,43,73.2,40.8,58.3,70.6,18,66.2,11.4,13.6,2.6,228,0.9,7.9,9.6,24.1,20.6,11,7.9,3.5,7.9,2.2,0.9,1.3,0,0,0,2.2,55.3,15.8,12.3,2.2,0,169.1,173.8,228,51.8,6.6,1.8,3.1,0.9,0.9,15.8,5.7,19.7,4.4,0.4,5.3,15.4,10.1,2.6,79.8,20.2,60.5,1.8,21.1,22.8,5.3,19.3,2.6,61.4,2.2,59.6,228,0.9,0,0.9,1.8,1.8,1.8,14,24.1,13.2,2.2,1.3,1.3,13.2,2.6,40.8,56.1,3.1,138.2,228,36,22.8,14.9,21.1,18,23.7,28.9,39.9,3.1,76.3,21.5,2.2,232,279,87.8,43,3.9,3.6,1.8,9.3,15.8,9,0.4,92.1,5.4,2.5,182.4,279,48.7,51.3,279,11.5,13.6,11.5,12.9,17.6,10.4,11.8,10.8,13.44,2.2,279,6.8,7.9,4.7,6.5,8.2,4.3,5.4,5,4.7,5.7,6.8,6.5,9.3,6.1,6.5,5.7,279,8.2,10.4,14.3,12.2,16.8,11.8,11.8,8.6,4.7,0.4,0.4,0.4,0,33,40.9,25.1,1.1,279,18.3,14.7,18.3,22.6,11.1,14,1.1,279,49.5,50.5,2.2,15.3,14.1 
神奈川県,186,52.2,4.3,1.6,3.2,11.8,10.2,21.5,7.5,22,5.4,0.5,18.3,31.7,21,4.8,89.2,10.8,58.6,21.5,26.3,24.2,18.3,36,4.8,74.2,11.3,64,226.9,186,52.2,4.3,1.6,3.2,11.8,10.2,21.5,7.5,22,5.4,0.5,18.3,31.7,21,4.8,89.2,10.8,58.6,21.5,26.3,24.2,18.3,36,4.8,74.2,11.3,64,226.9,166,56,3.6,1.2,3,3,0.6,19.9,7.2,21.1,3,0.6,10.2,15.7,9.6,3.6,87.3,12.7,83.1,17.5,62,3.6,24.7,23.5,10.2,18.7,3.6,65.1,1.8,63.3,145,76.6,44.1,69,40.7,67.6,71.7,11,66.9,15.2,4.1,2.1,145,0,4.8,9.7,26.2,20.7,13.1,6.2,4.1,9,0.7,1.4,0,0.7,0,0,3.4,55.9,15.9,11.7,2.1,0.7,164.95,159.4,145,62.1,3.4,0,2.8,0.7,0,17.9,4.8,20,3.4,0.7,6.2,13.1,9,2.8,89.7,10.3,67.6,0.7,20.7,22.8,6.2,16.6,2.8,68.3,0,68.3,145,2.8,0.7,5.5,4.8,2.1,0.7,20.7,29,11.7,1.4,2.8,0.7,15.9,1.4,48.3,50.3,1.4,151.7,145,20.7,18.6,12.4,14.5,15.9,17.9,23.4,26.2,3.4,64.8,33.8,1.4,188.3,186,83.3,42.5,6.5,5.9,3.2,10.8,17.7,11.8,0,89.8,8.1,2.2,191.9,186,56.5,43.5,186,12.4,10.8,13.4,9.1,9.1,12.4,13.4,19.4,13.8,2.4,186,5.4,6.5,7.5,4.8,5.9,5.9,8.1,12.4,7,4.3,5.9,4.3,3.2,6.5,5.4,7,186,9.1,11.3,10.8,11.3,9.7,11.3,12.4,16.7,7.5,0,0,0,0,31.2,32.3,36.6,0,186,16.7,14.5,17.2,15.1,22.6,14,0,186,48.4,51.6,9.3,16.2,15.1 
新潟県,58,41.4,6.9,3.4,3.4,1.7,3.4,17.2,5.2,22.4,1.7,0,19,53.4,27.6,6.9,91.4,8.6,55.2,5.2,20.7,22.4,19,58.6,6.9,60.3,6.9,53.4,222.4,58,41.4,6.9,3.4,3.4,1.7,3.4,17.2,5.2,22.4,1.7,0,19,53.4,27.6,6.9,91.4,8.6,55.2,5.2,20.7,22.4,19,58.6,6.9,60.3,6.9,53.4,222.4,53,41.5,7.5,1.9,3.8,0,1.9,15.1,5.7,22.6,1.9,0,11.3,39.6,15.1,1.9,90.6,9.4,88.7,18.9,54.7,1.9,18.9,22.6,11.3,43.4,1.9,56.6,3.8,52.8,48,64.6,33.3,54.2,29.2,52.1,72.9,12.5,77.1,12.5,4.2,6.3,48,2.1,4.2,4.2,29.2,20.8,20.8,6.3,2.1,6.3,0,0,0,0,0,0,4.2,56.3,8.3,6.3,0,0,139.57,94.5,48,43.8,8.3,2.1,4.2,0,0,14.6,4.2,20.8,2.1,0,6.3,31.3,12.5,0,87.5,12.5,58.3,0,16.7,20.8,6.3,33.3,0,58.3,2.1,56.3,48,8.3,2.1,6.3,0,2.1,0,4.2,6.3,16.7,2.1,0,0,12.5,2.1,33.3,56.3,10.4,129.2,48,22.9,14.6,4.2,6.3,12.5,27.1,12.5,22.9,4.2,68.8,27.1,4.2,158.3,58,87.9,29.3,5.2,5.2,3.4,13.8,12.1,15.5,0,91.4,3.4,5.2,181,58,56.9,43.1,58,10.3,5.2,15.5,6.9,6.9,20.7,17.2,17.2,14.12,2.3,58,3.4,3.4,10.3,3.4,6.9,8.6,12.1,8.6,6.9,1.7,5.2,3.4,0,12.1,5.2,8.6,58,6.9,6.9,15.5,5.2,6.9,22.4,10.3,15.5,10.3,0,0,0,0,29.3,34.5,36.2,0,58,15.5,13.8,20.7,13.8,20.7,15.5,0,58,60.3,39.7,8.4,41.6,14.7 
富山県,36,22.2,0,2.8,0,8.3,0,33.3,2.8,33.3,2.8,0,11.1,19.4,13.9,0,88.9,11.1,25,8.3,33.3,36.1,11.1,25,0,33.3,2.8,30.6,161.1,36,22.2,0,2.8,0,8.3,0,33.3,2.8,33.3,2.8,0,11.1,19.4,13.9,0,88.9,11.1,25,8.3,33.3,36.1,11.1,25,0,33.3,2.8,30.6,161.1,32,25,0,3.1,0,6.3,0,34.4,3.1,37.5,3.1,0,12.5,18.8,15.6,0,93.8,6.3,93.8,18.8,28.1,6.3,34.4,40.6,12.5,25,0,34.4,3.1,31.3,30,46.7,16.7,36.7,13.3,43.3,53.3,6.7,76.7,3.3,0,6.7,30,6.7,0,13.3,30,20,6.7,3.3,3.3,3.3,0,0,0,0,0,0,13.3,36.7,6.7,3.3,0,0,110.77,106.4,30,20,0,3.3,0,0,0,26.7,3.3,30,3.3,0,10,13.3,13.3,0,76.7,23.3,23.3,0,26.7,33.3,10,20,0,23.3,3.3,20,30,0,0,0,0,0,0,6.7,10,3.3,0,0,0,3.3,3.3,20,80,0,106.7,30,23.3,16.7,3.3,13.3,3.3,16.7,13.3,16.7,0,56.7,43.3,0,150,36,69.4,30.6,2.8,0,0,0,2.8,0,2.8,72.2,27.8,0,136.1,36,50,50,36,2.8,13.9,13.9,19.4,19.4,19.4,8.3,2.8,13.44,1.7,36,2.8,5.6,5.6,5.6,13.9,8.3,5.6,2.8,0,8.3,8.3,13.9,5.6,11.1,2.8,0,36,2.8,8.3,11.1,19.4,19.4,25,8.3,5.6,0,0,0,0,0,22.2,63.9,13.9,0,36,11.1,11.1,30.6,33.3,8.3,5.6,0,36,66.7,33.3,2,8.9,11.7 
石川県,33,39.4,6.1,0,9.1,0,15.2,33.3,9.1,39.4,0,0,24.2,57.6,30.3,3,97,3,54.5,15.2,39.4,39.4,24.2,60.6,3,69.7,15.2,54.5,269.7,33,39.4,6.1,0,9.1,0,15.2,33.3,9.1,39.4,0,0,24.2,57.6,30.3,3,97,3,54.5,15.2,39.4,39.4,24.2,60.6,3,69.7,15.2,54.5,269.7,32,37.5,6.3,0,6.3,0,3.1,34.4,9.4,37.5,0,0,6.3,40.6,9.4,0,84.4,15.6,84.4,15.6,50,3.1,40.6,37.5,6.3,40.6,0,53.1,3.1,50,27,63,22.2,81.5,11.1,44.4,66.7,0,81.5,7.4,14.8,0,27,3.7,0,11.1,33.3,14.8,7.4,11.1,7.4,7.4,3.7,0,0,0,0,0,0,51.9,18.5,11.1,0,0,164.81,139.5,27,44.4,7.4,0,7.4,0,3.7,40.7,11.1,44.4,0,0,7.4,40.7,11.1,0,100,0,59.3,3.7,48.1,44.4,7.4,40.7,0,63,3.7,59.3,27,7.4,0,0,3.7,3.7,3.7,3.7,11.1,3.7,0,0,0,11.1,3.7,29.6,70.4,0,122.2,27,22.2,18.5,3.7,3.7,11.1,18.5,18.5,7.4,3.7,59.3,37,3.7,148.1,33,93.9,15.2,0,3,6.1,6.1,3,0,0,93.9,6.1,0,133.3,33,60.6,39.4,33,3,6.1,12.1,21.2,9.1,24.2,12.1,12.1,14.09,1.9,33,0,3,9.1,15.2,6.1,15.2,9.1,3,3,3,3,6.1,3,9.1,3,9.1,33,3,3,9.1,24.2,12.1,15.2,15.2,15.2,3,0,0,0,0,15.2,51.5,33.3,0,33,6.1,9.1,33.3,18.2,21.2,12.1,0,33,48.5,51.5,2.3,9.9,13.2 
福井県,22,40.9,9.1,4.5,0,0,0,18.2,9.1,18.2,13.6,0,13.6,13.6,9.1,0,86.4,13.6,54.5,0,27.3,31.8,13.6,13.6,0,54.5,4.5,50,163.6,22,40.9,9.1,4.5,0,0,0,18.2,9.1,18.2,13.6,0,13.6,13.6,9.1,0,86.4,13.6,54.5,0,27.3,31.8,13.6,13.6,0,54.5,4.5,50,163.6,19,47.4,10.5,0,0,0,0,15.8,5.3,21.1,10.5,0,10.5,10.5,5.3,0,94.7,5.3,94.7,10.5,57.9,0,21.1,31.6,10.5,10.5,0,57.9,0,57.9,18,72.2,22.2,44.4,16.7,66.7,50,11.1,66.7,16.7,0,5.6,18,0,5.6,0,38.9,16.7,22.2,11.1,0,0,0,0,0,0,0,0,5.6,50,0,0,0,0,125.88,69.5,18,44.4,11.1,0,0,0,0,16.7,5.6,22.2,0,0,5.6,0,0,0,88.9,11.1,55.6,0,22.2,22.2,5.6,0,0,55.6,0,55.6,18,0,5.6,5.6,0,0,0,0,5.6,11.1,0,5.6,0,5.6,0,22.2,72.2,5.6,116.7,18,22.2,11.1,0,5.6,5.6,11.1,11.1,16.7,0,44.4,55.6,0,138.9,22,90.9,27.3,9.1,0,0,13.6,4.5,9.1,0,95.5,4.5,0,159.1,22,59.1,40.9,22,4.5,9.1,13.6,13.6,18.2,9.1,22.7,9.1,13.95,2.1,22,0,4.5,4.5,4.5,9.1,9.1,18.2,9.1,4.5,4.5,9.1,9.1,9.1,0,4.5,0,22,0,13.6,9.1,9.1,18.2,18.2,9.1,22.7,0,0,0,0,0,22.7,45.5,31.8,0,22,9.1,13.6,22.7,22.7,27.3,4.5,0,22,63.6,36.4,0.6,11.5,11.1 
山梨県,27,55.6,7.4,3.7,0,3.7,3.7,7.4,11.1,25.9,0,3.7,18.5,29.6,14.8,0,85.2,14.8,59.3,7.4,18.5,29.6,18.5,29.6,0,63,7.4,59.3,200,27,55.6,7.4,3.7,0,3.7,3.7,7.4,11.1,25.9,0,3.7,18.5,29.6,14.8,0,85.2,14.8,59.3,7.4,18.5,29.6,18.5,29.6,0,63,7.4,59.3,200,23,65.2,8.7,4.3,0,4.3,4.3,8.7,13,30.4,0,4.3,21.7,21.7,17.4,0,87,13,87,21.7,69.6,8.7,21.7,34.8,21.7,21.7,0,73.9,8.7,69.6,20,90,30,75,35,60,65,15,80,20,10,5,20,0,5,5,25,15,15,0,10,10,0,0,0,5,0,0,10,55,25,15,5,5,215,255.6,20,65,5,0,0,0,0,10,10,35,0,5,20,25,20,0,85,15,70,0,20,40,20,25,0,70,0,70,20,10,5,0,0,5,0,15,15,15,0,0,0,30,0,45,50,5,150,20,35,25,20,15,30,45,25,60,0,85,15,0,270,27,66.7,33.3,7.4,14.8,14.8,11.1,11.1,3.7,0,77.8,7.4,14.8,185.2,27,44.4,55.6,27,22.2,3.7,11.1,7.4,3.7,14.8,25.9,11.1,13.7,2.6,27,7.4,0,3.7,0,0,11.1,11.1,11.1,14.8,3.7,7.4,7.4,3.7,3.7,14.8,0,27,7.4,18.5,3.7,7.4,11.1,11.1,22.2,11.1,7.4,0,0,0,0,29.6,29.6,40.7,0,27,7.4,22.2,14.8,14.8,22.2,18.5,0,27,59.3,40.7,1.8,39.5,12.0 
